suhu,kelembaban,kelembaban_tanah,intensitas_cahaya,label
32.18,7.23,55.71,92.24,1
58.56,72.72,92.22,65.93,0
70.5,69.35,3.66,72.57,1
76.88,9.65,80.34,11.96,0
93.54,32.45,93.22,88.37,1
28.88,53.14,92.79,38.47,0
82.82,75.1,13.19,89.35,1
35.92,42.07,94.04,14.75,0
74.05,42.12,1.47,41.02,1
86.68,69.43,60.39,38.14,0
10.72,57.13,0.72,55.24,1
26.53,62.28,67.67,71.39,0
11.13,38.47,24.13,2,1
35.12,91.38,52.62,53.74,0
1.19,54.41,21.55,55.12,1
71.51,77.75,72.54,70.75,0
55.55,21.12,9.97,4.1,1
64.93,90.1,54.06,24.42,0
81.32,2.15,21.88,47.98,1
54.08,74.07,94.32,91.77,0
52.27,27.29,23,66.99,1
17.28,45.56,45.27,15.43,0
89.52,37.26,1.22,75.73,1
16.65,72.02,30.26,98.44,0
42.86,49.13,23.15,64.07,1
16.75,9.68,76.1,64.35,0
47.01,99.95,28.69,15.71,1
85.38,46.29,48.15,28.28,0
94.24,29.28,48.14,81.24,1
21.93,30.71,55.5,87.64,0
34.48,21.77,79.29,85.32,1
78.99,85.47,67.73,43.04,0
57.75,13.55,4.8,20.09,1
16.11,48.18,47.46,50.81,0
5.96,47.62,0.19,20.33,1
3.56,30.79,64.64,48.28,0
98.57,19.52,24.99,5.96,1
24.7,92.26,46.89,0.73,0
10.45,22.24,7.33,65.18,1
13.22,38.51,95.14,27.41,0
45.82,83.25,2.04,27.6,1
13.37,0.85,37.83,34.7,0
61.28,75.86,7.09,2.74,1
86.23,90.34,42,63.83,0
57.54,16.23,52.17,93.47,1
36.02,2.53,52.79,46.79,0
84.49,44.88,85.29,78.55,1
41.81,99.69,34.85,23.07,0
62.6,69.82,21.27,65.78,1
0.45,31.86,64.35,75.49,0
77.09,18.77,13.87,91.45,1
13.14,54.61,67.02,84.53,0
74.21,15.09,91.37,83.76,1
29.19,92.05,66.86,63.41,0
55.85,31.42,29.75,3.05,1
1.18,67.68,89.34,43.98,0
66.66,58.19,14.84,0.43,1
96.56,3.81,91.1,3.59,0
32.96,9.5,16.3,98.15,1
65.84,66.24,38.18,92.3,0
47.91,29.54,16.16,19.96,1
35.69,94.67,46.97,71.02,0
60.93,26.95,6.55,68.51,1
96.62,73.13,78.29,6.92,0
56.24,70.44,11.28,62.46,1
4.9,73.57,64.26,89.99,0
37.61,1.06,89.76,92.06,1
56.86,72.86,63.59,6.97,0
24.58,66.27,25.8,4.71,1
31.29,98.13,67.13,11.99,0
79.51,10.57,9.08,1.57,1
91.62,97.53,59.15,88.94,0
37.01,71.02,0.41,43.76,1
73.83,80.89,60.78,53.81,0
27.59,4.67,26.24,40.56,1
73.54,69.03,94.44,71.15,0
66.13,19.08,30.15,91.21,1
74.51,80.2,93.13,21.27,0
50.14,46.66,83.43,79.67,1
26.39,27.79,31.42,67.01,0
32.78,68.01,6.79,90.35,1
0.12,75.48,32.79,90.74,0
65.18,9.38,25.89,39.48,1
26.24,51.62,31.31,78.72,0
78.38,44.8,16.94,99.76,1
48.63,96.09,78.29,74.18,0
81.62,3.45,80.56,92,1
62.71,72.72,96.03,56.69,0
94.95,9.27,94.17,99.38,1
79.62,94.39,62.86,85.22,0
40.77,5.77,13.96,12.9,1
10.79,59.52,68.98,28.16,0
13.6,68.31,26.38,5.28,1
30.76,50.95,45.8,28.33,0
54.05,51.27,17.58,3.94,1
92.17,34.66,41.84,51.41,0
94.59,16.91,21.12,27.29,1
53.86,52.6,41.86,92.88,0
79.54,87.46,10.9,72.33,1
44.35,73.05,87.01,61.39,0
36.74,63.93,28.9,37.22,1
17.41,81.84,43.62,41.6,0
25.08,77.1,6.54,72.42,1
49.97,2.54,95.36,53.9,0
14.25,34.39,19.36,26.45,1
6.55,14.83,74.71,1.55,0
39.81,11.5,7.12,59.19,1
6.29,76.32,69.43,41.59,0
3.32,92.16,27.47,87.29,1
1.19,39.9,31.87,61.46,0
84.85,79.54,16.35,40.85,1
41.41,70,51.41,88.87,0
66.67,5.35,38.1,95.78,1
85.96,79.81,72.57,37.9,0
0.48,71.67,27.48,60.85,1
83.17,19.48,80.8,21.69,0
72.84,92.98,5.76,84.35,1
10.82,1.4,77.65,38.57,0
79.14,47.97,63.25,85.63,1
71.36,56.47,43.2,56.68,0
74.88,24.14,32.85,90.55,1
20.66,17.04,68.17,85.79,0
56.94,49.6,81.56,72.6,1
58.39,73.61,61.39,40.39,0
94.84,39.52,20.14,20.42,1
43.34,65.21,38.96,40.09,0
50.51,87.95,7.07,93.93,1
68.21,15.31,39.59,35.57,0
41.3,25.81,80.4,72.64,1
96.08,98.39,83.92,48.68,0
90.74,73.68,25.73,45.04,1
66.76,87.1,87.18,98.24,0
93.15,53.05,14.33,36.93,1
21.16,43.09,93.02,77.68,0
65.22,20.96,15.26,57.84,1
37.91,1.77,69.36,28.89,0
73.03,98.88,21.14,45.84,1
74.26,12.1,86.11,18.95,0
30.12,2.06,11.78,95.34,1
81.11,45.18,90.12,52.51,0
72.01,48.7,29.42,60.3,1
12.59,61.52,79.09,81.43,0
42.59,7.5,12.24,71.64,1
42.62,85.53,93.59,46.12,0
49.41,18.99,96.33,91,1
23.27,99.02,98.16,11.18,0
23.52,79.32,15.01,72.31,1
15.64,51.6,41.16,93.04,0
37.95,4,79.97,77.99,1
68.8,35.88,61.67,49.84,0
48.6,94.48,7.18,38.09,1
7.8,94.07,77.25,60.63,0
16.73,45.75,0.71,87.06,1
24.79,35.87,70.01,38.64,0
50.61,80.47,13.61,92.34,1
78.2,0.9,50.97,6.15,0
46.47,47.59,7.15,19.3,1
68.18,59.46,84.96,5.83,0
70.04,51.17,23.02,53.31,1
96.38,97.96,41.73,85.63,0
75.03,0.78,66.26,91.26,1
3.51,88.84,56.04,81.72,0
21.45,59.97,9.6,54.79,1
8.38,84.12,50.27,77.76,0
50.94,53.67,5.62,15.54,1
31.27,61.04,80.83,52.96,0
46.23,33.12,91.95,87.16,1
19.83,50.99,78.72,31.5,0
94.05,1.08,21.13,71.6,1
21.3,77.14,90.94,48.69,0
7.76,44.03,10.26,86.5,1
77.09,71.07,95.88,4.66,0
35.48,88.32,4.27,19.67,1
60.84,76.03,54.74,98.6,0
25.33,70.83,16.26,18.82,1
99.14,92.32,96.46,39.01,0
64.99,94.54,28.81,79.95,1
22.74,70.36,76.14,21.59,0
16.67,59.92,7.83,9.07,1
99.16,82.09,99.42,76.52,0
38.69,61.44,25.61,88.89,1
89.19,21.35,41.81,66.73,0
28.93,61.25,17.7,45.01,1
20.89,90.77,55.94,30.37,0
78.23,92.47,26.53,77.54,1
40.6,98,72.35,15.25,0
88.15,40.25,61.86,71.03,1
40.49,55.48,91,48.55,0
54.4,46.95,9.38,52.04,1
7.06,55.73,98.73,0.95,0
56.98,29.46,36.51,95.71,1
33.5,17.21,63.77,27.84,0
15.09,57.08,6.36,75.71,1
72.69,28.62,41.38,43.39,0
43.15,31.23,48.92,73.61,1
12.22,49.17,81.4,13.95,0
5.07,16.2,29.58,8.67,1
81.35,69.22,72.95,67.17,0
85.42,34.03,9.59,51.07,1
43.57,91.65,34.21,55.19,0
34.99,66.93,5.62,70.54,1
86.95,59.9,42.87,26.16,0
47.04,47.12,1.11,20.35,1
87.91,68.18,66.18,76.15,0
62.58,49.89,11.33,67.23,1
70.91,15.98,91.44,43.94,0
64.04,68.39,5.66,86.86,1
67.08,99.78,55.63,86.79,0
70.6,8.1,27.77,66.56,1
86.02,3.46,73.33,30.6,0
72.54,94.22,3.69,92.75,1
16.92,98.59,62.9,10.36,0
32.51,56.75,17.92,84.38,1
32.58,24.22,39.72,67.67,0
37.49,96.39,23.24,82.49,1
87.26,61.43,32.51,16.78,0
59.12,65.78,19.03,10.26,1
3.91,53.71,32.51,47.76,0
73.39,17.11,62.99,98.27,1
71.91,94.75,63.53,94.86,0
39.92,19.67,24.83,86.82,1
42.46,33.8,85.52,8.9,0
11.75,10.42,15.64,30.54,1
47.75,75.39,49.01,51.47,0
87.9,26.55,11.49,4.15,1
70.71,2.22,41.29,56.73,0
82.8,65.66,21.08,65.91,1
87.25,64.46,87.4,40.66,0
89.1,8.03,14.92,47.21,1
8.03,85.11,66.82,23.41,0
74.39,81.72,10.74,26.92,1
43.41,84.64,31.8,0.16,0
84.86,59.88,1.1,58.2,1
75.87,74.57,81.18,25.23,0
94.92,7.4,45.7,90.34,1
36.62,54.73,78.63,20.26,0
90.1,98.2,2.66,29.64,1
8.89,76.62,40.81,44.83,0
51.19,32.06,71.42,98.57,1
48.1,32.48,56.33,50.62,0
82.47,63.32,13.09,3.35,1
18.36,48.95,63.43,48.34,0
88.04,23.58,77.89,94.98,1
17.43,11.09,72.14,2.88,0
86.62,30,45.64,71.84,1
85.04,20.38,94.47,54.69,0
66.46,61.87,21.59,31.1,1
84.52,71.34,76.33,91.68,0
18.97,56.12,21.89,24.69,1
84.83,58.81,65.2,16.17,0
34.4,63.38,29.09,15.67,1
27.25,57.93,93.89,94.21,0
94.59,66.8,15.22,56.61,1
69.87,90.1,48.66,48.72,0
45.83,75.02,12.36,31.8,1
36.73,38.41,95.08,20.5,0
76.06,55.06,15.92,36.38,1
33.52,13.2,60.75,14.07,0
15.53,17.51,22.33,75.79,1
50.01,73.9,31.17,11.29,0
39.7,31.48,68.79,99.67,1
81.95,99.39,61.37,55.23,0
5.08,41.34,28.67,30.14,1
38.64,41.03,40.41,68.79,0
13.84,17.6,20.47,80.64,1
5.03,16.44,67.2,88.57,0
39.47,36.63,5.52,35.97,1
84.03,53.26,94.52,89.82,0
79.83,6.46,74.64,90.91,1
1.37,18.47,94.81,56.94,0
46.48,26.36,0.18,69.74,1
66.02,66.36,53.35,91.98,0
92.48,14.38,95.05,80.55,1
7.16,75.64,94.82,68.35,0
71.62,0.65,14.1,28.54,1
50.7,85.71,59.33,63.96,0
97.23,54.36,10.13,23.76,1
23.76,46.61,59.14,95.17,0
50.05,74.07,10.99,37.57,1
95.77,34.22,51.68,54.19,0
62.88,29.63,57.95,73.54,1
40.7,74.43,63.65,27.61,0
26.89,32.01,20.64,0.57,1
33.51,66.55,64.74,35.54,0
93.37,6.11,27.55,31.52,1
41.37,99.35,55.07,48.89,0
0.66,50.64,27.95,93.24,1
78.94,87.78,70.09,81.9,0
40.54,41.93,99.12,79.15,1
71.57,88.03,34.95,29.94,0
5.32,98.38,23.36,36.88,1
33.82,99.92,63.78,75.16,0
26.34,44.01,26.62,4.63,1
54.74,59.79,72.35,59.01,0
7.66,20.5,20.03,31.43,1
91.22,32.01,53.72,9.38,0
59.45,51.21,3.05,88.89,1
50.86,59.22,59.55,45.37,0
88.53,27.84,82.32,95.11,1
21.41,30.82,94.08,33.89,0
37.23,31.72,14.42,73.32,1
32.84,98.41,68.33,3.57,0
2.02,82.36,2.93,68.48,1
7.25,4.33,96.45,77.11,0
99.24,37.21,7.51,60.28,1
16.7,71.95,33.63,71.58,0
69.52,68.14,14.68,21.7,1
8.63,28.71,39.28,13.33,0
34.32,74.14,0.77,27.2,1
66.86,43.15,36.06,46.14,0
63.48,33.25,23.44,22.7,1
29.59,16.73,98.57,83.4,0
22.7,80.92,12.68,9.21,1
6.38,95.58,67.73,97.06,0
99.77,87.55,29.05,80.8,1
32.43,95,67.2,84.74,0
50.72,82.32,28.11,55.08,1
18.18,3.45,80.58,61.69,0
40.86,23.73,2.51,14.38,1
48.43,64.88,96.61,55.76,0
5.72,13.1,19.07,47.08,1
75.68,1.49,96.46,36.74,0
46.78,10.2,77.06,97.57,1
13.67,10.18,45.78,20.61,0
37.24,26.51,29.69,45.47,1
32.5,64.65,45.04,7.44,0
10.1,82.85,18.65,13.84,1
26.51,80.47,37.82,95.48,0
97.55,73.03,11.73,9.8,1
11.05,39.26,37.78,64.11,0
69.7,89.52,15.63,68.04,1
61.83,30.34,58.54,61.32,0
54.59,43.94,99.07,78.02,1
51.42,66.22,78.7,26.3,0
19.14,6.2,19.46,21.95,1
39.46,90.24,69.77,43.08,0
14.11,33.46,24.64,66.49,1
91.78,40.17,76.89,15.32,0
41.99,66.65,9.87,26.43,1
9.47,41.96,50.29,16.1,0
17.79,70.21,1.95,32.23,1
10.92,48.96,70.85,61.03,0
24.98,44.01,9.02,88.17,1
94.52,63.18,57.28,81.03,0
57.98,23.52,11.43,16.53,1
31.85,96.43,36.29,33.08,0
93.72,28.07,26.7,79.18,1
1.32,90.42,33.75,48.45,0
99.87,29.1,15.13,31.1,1
69.48,70.03,57.66,58.34,0
93.76,42.57,29.91,57.16,1
81.93,65.36,61.39,35.43,0
55.05,8.52,66.56,70.58,1
3.45,19.17,42.12,64.66,0
15.8,71.35,2.96,95.46,1
5.43,85.2,96.2,67.41,0
89.21,5.01,17.85,38.49,1
83.41,56.63,71.62,28.45,0
91.08,50.84,28.78,24.41,1
37.04,84.12,84.24,89.07,0
50.14,94.11,16.99,42.95,1
1.4,55.1,73.12,55.49,0
92.52,9.21,63.39,98.17,1
56.31,24.42,65.18,63.19,0
62.19,28.14,28.35,37.27,1
9.17,55.74,100,10.9,0
96.88,82.55,14.09,41.35,1
47.46,77.96,72.68,72.14,0
1.22,7.68,3.37,38.1,1
48.73,84.95,53.46,27.58,0
9.25,55.17,8.73,26,1
43.51,8.91,42.61,51.99,0
64.34,55.62,17.22,46.37,1
71.02,43.25,39.32,56.5,0
77.75,8.81,80.83,73.94,1
14.23,30.08,60.94,86.46,0
34.91,65.74,15.76,2.41,1
42.9,56.32,41.27,19.56,0
56.12,19.51,83.44,88.83,1
26.44,25.09,49.9,37.55,0
45.28,47.79,0.8,25.91,1
40.16,29.98,98.1,31.3,0
4.44,56.64,6.35,18.61,1
54.46,26.9,93.7,39.81,0
90.56,49.64,70.34,88.86,1
66.26,46.3,65.01,60.81,0
18.99,87.83,1.26,38.12,1
67.37,4.23,58.78,51.78,0
83.07,75.73,0.18,55.07,1
90,90.82,93.74,78.14,0
69.34,5.74,49.58,93.41,1
78.53,85.37,38.69,88.16,0
45.19,28.87,15.13,74.67,1
94.64,3.73,80.91,46.22,0
67.86,30.97,17.79,97.58,1
93.2,54.81,95.13,74.12,0
15.41,73.8,10.18,86.27,1
31.02,35.08,73.58,42.54,0
65.84,64.39,9.58,69.98,1
51.64,80.68,35.59,6.55,0
55.17,29.47,17.49,47.81,1
14.09,18.94,85.12,71.55,0
89.57,81.72,3.14,20.46,1
91.48,62.28,51.09,80.6,0
82.11,14.12,62.68,80.4,1
1.13,9.49,44.8,56.4,0
89.37,21.06,62.03,99.72,1
85.43,79.41,66.81,96.92,0
89.43,14.41,8.12,88.59,1
29.97,84.33,86.72,65.78,0
36.82,31.28,16.86,66.18,1
10.88,44.44,39.59,22.42,0
2.64,83.21,9.6,29.59,1
23.96,68.01,79.52,87.12,0
31.51,37.81,66.6,72.91,1
38.31,65.58,54.03,51.21,0
51.65,71.4,17.76,49.4,1
50.49,63.11,48.29,21.53,0
47.81,35.2,94.01,76.67,1
5.55,33.68,71.73,98.38,0
36.41,41.42,0.41,72.64,1
76.72,75.01,60.59,90.11,0
44.35,43.31,11.78,50.68,1
15.82,96.06,83.03,94.4,0
43.16,35.78,25.21,4.05,1
27.69,78.96,73.43,94.88,0
64.73,85.16,21.71,65.01,1
20.23,94.44,54.87,35.71,0
64.37,15.87,5.62,78.98,1
28.62,6.37,65.05,2.46,0
79.12,31.31,21.12,92.41,1
1.66,13.86,85.13,48.67,0
60.56,56.02,19.43,86.94,1
96.34,65.35,30.74,79.8,0
87.98,36.58,19.77,13.43,1
73.44,41.36,38.47,50.4,0
17.47,71.52,23.06,89.55,1
3.52,10.76,78.31,87.49,0
52.19,32.15,4.28,56.54,1
91.6,62.05,45.57,86.46,0
33.94,94.46,9.06,22.3,1
42.11,17.35,47.88,21.18,0
39.95,67.22,15.36,26.57,1
58.71,82.32,97.66,55.43,0
82.66,76.3,22.07,42.8,1
25.9,58.86,42.2,22.04,0
31.03,50.74,27.9,20.25,1
98.78,1.92,50.63,65.34,0
48.35,68.43,11.44,61.64,1
15.33,61.93,79.26,66.94,0
7.39,67.6,25.9,2.26,1
84.49,53.77,43.14,32.3,0
89.81,45.07,78.74,74.91,1
90.79,79.95,73.19,20.7,0
72.65,41.64,31.89,96.91,1
86.06,99.62,78.13,31.05,0
96.29,60.78,24.54,42.88,1
88.18,10.38,64.39,42.02,0
22.9,15.65,17.67,49.15,1
66.33,5.15,92.59,54.22,0
64.29,77.87,15.84,48.72,1
61.22,61.9,59.81,93.47,0
51.53,85.45,15.89,74.33,1
55.11,7.22,61.45,53.91,0
49.71,45.76,48.32,98.37,1
10.01,6.64,57.5,50.35,0
79.01,50.5,28.41,49.32,1
57.28,55.27,93.91,6.94,0
98.73,82.14,12.7,51.69,1
89.41,70.2,48.02,78.9,0
58.24,21.27,99.05,98.28,1
24.96,11.88,84.11,4.18,0
3.29,58.66,26.85,56.02,1
15.9,75.54,74.19,94.94,0
25.27,56.81,27.31,88.66,1
36.85,76.99,80.32,85.76,0
98.42,16.12,27.7,35.16,1
10.46,80.8,59.23,16.71,0
82.58,60.41,29.06,73.79,1
6.36,72.68,53.67,11,0
70.82,66.34,18.46,49.04,1
29.99,7.53,52.9,38.45,0
72.21,62.66,10.94,5.17,1
57.32,86.08,65.17,17.86,0
34.39,75.48,25.7,72.52,1
57.27,70.7,99.83,68.12,0
42.95,7.1,38.34,88.49,1
90.02,82.44,56.13,84.98,0
72.02,6.73,10.74,33.91,1
10.96,46.26,78.27,39.6,0
3.76,69.52,1.84,91.39,1
7.96,32.51,59.04,90.32,0
34.73,84.13,25.22,0.23,1
90.36,43.72,78.33,11.16,0
97.64,89.57,2.34,55.15,1
67.61,31.29,50.16,8.36,0
38.38,14.54,76.57,77.58,1
78.86,60.12,56.82,43.81,0
84.57,53.73,14.41,78.25,1
23.35,88.28,45.11,58.45,0
2.54,2.05,25.65,74.53,1
35.92,53.21,62.24,60.71,0
7.74,82.3,8.61,39.21,1
21.02,10.07,40.03,67.48,0
71.81,23.01,23.83,18.43,1
71.59,76.43,67.5,1.09,0
36.9,63.03,18.39,88.52,1
31.42,44.03,90.59,53.65,0
85.59,9.12,14.72,89.28,1
87.73,21.5,41.43,47.47,0
70.11,0.11,10.67,46.34,1
52.53,55.04,38.78,4.31,0
45.18,20.13,54.31,79.21,1
41.44,28.35,67.63,60.56,0
19.29,88.41,8.29,73.32,1
2.87,76.22,44.94,85.67,0
94.37,1.03,42.84,78.12,1
57.4,65.29,56.88,31.98,0
34.42,81.9,15.22,35.48,1
81.43,9.15,75.84,17.42,0
16,69.42,9.28,74.93,1
20.3,35.25,56.19,51.13,0
71.45,18.38,0.95,76.42,1
44.24,6.51,66.51,35.99,0
79.67,5.67,55.8,70.15,1
23.42,92.86,56.62,0.24,0
94.06,73.52,0.63,82.65,1
80.68,54.26,91.75,55.27,0
81.38,38.36,90.01,98.2,1
3.86,26.54,40.03,94.66,0
39.01,42.62,61.79,69.94,1
72.7,10.14,96.69,59.39,0
74.67,61.08,4.29,42.85,1
51.23,49.99,70.35,92.2,0
60.97,83.21,28.31,90.51,1
75.58,33.28,92.12,47.46,0
92.12,64.61,15.46,11.17,1
25.67,96.01,47.97,57.12,0
79.74,8.99,6.99,76.2,1
31.44,52.21,35.54,35.8,0
87.65,57.68,28.68,30.78,1
31.14,47.96,70.29,69.8,0
98.68,70.01,27.37,97.9,1
2.65,76.21,72.17,2.2,0
37.66,83.32,5.14,0.65,1
45.19,43.69,71.04,42.99,0
78.79,0.52,54.71,75.43,1
40.02,1.92,80.04,29.03,0
8.76,70,20.32,17.66,1
65.12,15.73,50.58,4.18,0
30,21.4,28.24,41.49,1
21.83,15.71,39.18,24.75,0
47.98,16.07,32.64,94.55,1
47.73,70.35,86.82,22.72,0
91.98,79.95,0.74,7.79,1
66.94,78.62,63.49,52.45,0
95.8,75.65,25.05,77.3,1
68.31,80.18,37.31,37.14,0
30.14,77.26,7.01,2.74,1
82.8,5.12,30.25,1.78,0
22.82,34.22,11.47,72.79,1
3.28,28.3,69.72,51.27,0
79.51,13.57,13.63,11.46,1
92.47,85.01,68.11,40.06,0
48.04,37.01,57.61,83.7,1
2.07,11.6,48.54,2.2,0
29.81,47.41,29.87,42.51,1
87.2,23.53,65.82,9.6,0
22.61,62.85,10.01,86.36,1
4.47,56.84,35.75,4.47,0
18.14,56.35,14.22,42.41,1
26.23,13.27,81.54,33.85,0
69.87,22.97,76.59,95.76,1
9.92,76.43,50.5,34.06,0
2.02,12.18,8.29,68.85,1
32.32,40.79,87.89,29.19,0
95.92,13.74,76.08,84.97,1
73.27,87.07,78.5,69.55,0
37.54,35.1,18.8,18.77,1
37.17,69.64,98.17,8.5,0
11.66,32.82,11.63,10.22,1
31.3,73.1,46.59,83.48,0
75.27,87.23,25.82,42.92,1
75.18,91.21,35.61,9.02,0
80.17,21.67,63.84,96.63,1
44.43,78.88,86.25,8.61,0
12.06,42.46,8.17,17.92,1
12.92,71.06,33.08,79.09,0
27.18,57.88,2.97,55.52,1
78.96,36.26,91.99,21.85,0
74.55,2.4,1.37,55.66,1
45.63,68.94,36.66,65.41,0
49.2,79.45,15.91,0.29,1
79.4,3.24,47.97,68.07,0
64.73,54.46,4.71,27.79,1
79.08,64.12,87.98,37.51,0
62.95,76.11,15.52,61.5,1
55.29,63.47,88.6,90.02,0
43.52,51.24,9.99,23.99,1
80.28,87.98,36.45,94.17,0
23.22,80.92,18.93,49.7,1
22.47,3.19,64.39,73.65,0
93.41,27.04,61.19,75.06,1
63.12,38.87,58.42,62.52,0
76.26,42.22,29.92,25.19,1
49,64.61,44.02,8.13,0
29.96,42.34,10.94,30.37,1
86.65,87.56,57.68,52.5,0
16.12,21.24,3.36,45.31,1
4.3,58.63,81.91,17.94,0
93.7,11.52,77.94,77,1
9.46,67.4,88.16,88.34,0
47.33,63.91,4.24,4.53,1
9.85,34.82,48.37,88.36,0
11.86,9.38,18.99,16.18,1
63.42,34.07,75.34,56.07,0
50.03,17.3,32.44,92.68,1
41.64,40.32,51.51,29,0
2,61.75,8.62,65.33,1
39.77,22.77,81.65,52.47,0
36.68,41.46,3.01,58.28,1
10.93,69.2,71.97,78.24,0
12.42,8.08,25.47,33.68,1
21.14,11.42,40.51,38.25,0
50.55,82.45,26.59,1.5,1
3.94,98.74,86.81,83.4,0
34.81,33.4,83.73,95.05,1
98.67,65.51,89.41,41.84,0
61.42,16.52,19.48,74.1,1
93.17,80.83,86.37,3.57,0
53.87,95.62,17.99,79.63,1
83.37,70.35,64.21,18.33,0
54.89,37.01,21.3,17.82,1
11.39,96.66,72.25,3.3,0
2.77,50.84,2.72,72.52,1
70.65,12.57,50.03,21.18,0
7.77,48.06,27.02,76.13,1
74.19,45.82,97.76,64.61,0
48.62,32.81,13.83,48.77,1
22.52,71.77,45.83,90.56,0
74.51,49.8,0.78,13.54,1
41.62,72.91,70.26,18.3,0
43.87,43.84,90.34,99.45,1
97.58,65.01,83.82,81.65,0
44.33,83.73,18.39,55.52,1
54.48,55.62,78.74,2.91,0
81.31,4.65,5.02,0.04,1
41.89,70.29,87.71,53.6,0
88.74,82.44,19.17,73.64,1
14.4,47.49,72.12,42.94,0
46.93,96.8,15.02,36.88,1
11.88,61.42,62.09,98.24,0
54.32,80.32,12.2,29.5,1
87.52,12.49,84.73,47.05,0
8.08,51.07,16.54,67.03,1
29.34,80.24,85,67.42,0
67.46,34.14,8.53,62.74,1
45.87,44.83,86.82,64.78,0
72.48,60.78,11.76,52.3,1
39.4,19.35,56.98,34.68,0
49.46,58.97,27.68,47.87,1
67.63,23.73,64.93,14.53,0
17.53,1.15,19.32,41.68,1
62.1,44.68,49.75,40.73,0
57.32,44.94,85.1,73.76,1
38.49,40.4,55.94,33.39,0
25.65,96.12,10.48,88.52,1
49.55,94.39,32.96,35.39,0
71.43,75.18,3.63,54.85,1
1.01,83.14,38.69,17.43,0
70.04,65.32,16.83,48.74,1
72.93,13.64,67.19,40.62,0
85.23,35.56,26.73,70.28,1
21.91,0.25,54.86,83.85,0
74.7,30.79,37.92,72.29,1
50.23,69.15,76.27,74.14,0
56.96,40.67,22.3,90.36,1
62.44,18.55,82.94,40.71,0
3.43,97.05,24.1,64.95,1
63.75,45.12,63.24,64.37,0
95.38,6.17,29.33,15.48,1
74.58,66.2,64.93,34.34,0
76.02,39.73,27.96,42.44,1
64.41,34.72,80.52,22.43,0
7.85,95.46,4.59,1.02,1
36.05,6.08,80.21,23.2,0
52.37,97.78,18.41,73.57,1
67.61,91.7,67.99,25.48,0
68.54,13.4,96.49,79,1
16.91,89.74,30.82,6.34,0
6.03,69.73,12.11,30.65,1
14.71,91.11,70.72,69.41,0
1.98,88.25,5.06,31.7,1
64.22,67.12,48.33,99.53,0
56.21,62.93,24.88,17.63,1
56.06,31.07,92.46,11.7,0
88.7,32.3,19.46,4.46,1
90.05,55.26,47.57,20.88,0
17.65,18.58,2.68,63.93,1
53.92,38.65,80.29,9.27,0
32.53,93.29,2.47,15.8,1
59.19,1.45,42.88,17.57,0
89.68,32.63,52.45,81.63,1
56.54,62.55,53.78,7.87,0
71.6,59.53,15.65,33.01,1
25.91,95.71,67.57,78.78,0
61.33,41.82,16.79,49.02,1
46.09,65.75,36.13,19.67,0
13.98,22.73,15.46,5.35,1
12.58,19.91,80.29,1.66,0
70.75,94.38,9.68,31.88,1
49.7,85.32,61.77,22.85,0
83.94,28.8,10.48,27.23,1
95.98,87.17,84.24,8.47,0
66.91,33.81,23.43,87.79,1
61.34,55.81,96.92,91.88,0
21.08,48.02,27.97,70.87,1
40.72,65.73,69.35,39.18,0
30.46,3.96,2.33,76.99,1
89.48,95.78,34.37,45.96,0
97.91,32.96,24.8,0.36,1
87.96,11.41,63.79,11.17,0
58.43,20.85,67.44,84.41,1
31.11,80.57,34.99,5.15,0
96.6,65.03,23.11,51.11,1
84.96,55.21,99.66,95.05,0
5.19,14.57,23.97,99.08,1
46.5,52.96,76.25,52.45,0
6.81,97.13,26.91,29.17,1
21.02,32.31,34.68,8.14,0
79.34,16.41,68.73,72.55,1
61.63,8.94,59.06,34.32,0
72.31,5.53,23.07,7.73,1
21.17,6.49,45.71,9.44,0
28.42,89.43,25.44,70,1
24.82,26.47,77.27,60.69,0
87.49,18.79,95.52,86.32,1
61.16,32.73,62.1,66.59,0
17.27,36.99,7.01,84.12,1
20.95,8.12,71.72,76.96,0
14.94,47.53,26.45,66.47,1
88,69.08,77.64,63.41,0
98.52,87.19,29.38,92.67,1
99.58,16.21,79.13,63.85,0
9.34,89.22,9.85,87.05,1
9.51,54.25,53.1,97.12,0
36.98,37.2,16.09,89.9,1
72.62,9.34,33.13,28.2,0
30.74,70.55,3.39,87.65,1
95,97.64,54.07,2.18,0
56.95,31.56,9.03,82.47,1
51.17,52.63,94.58,19.45,0
61.9,78.79,25.59,49.55,1
84.5,32.05,85.83,16.47,0
50.59,50.62,7.98,21.43,1
98.55,88.1,65.72,3.19,0
83.47,34.55,30.14,83.58,1
27.37,37.98,88.55,93.97,0
92.08,11.57,2.09,30.33,1
29.96,3.89,78.27,96.85,0
87.82,49.25,8.94,48.01,1
64.71,93.58,56.64,0.49,0
56.29,64.13,20.09,19.23,1
35.82,7.04,68.86,28.66,0
54.23,7.82,95.84,91.42,1
37.42,91.05,39.79,36.33,0
69.13,82.96,7.13,86.11,1
12.6,85.29,68.07,60.35,0
3.34,1.66,9.81,52.29,1
34.46,72.62,43.66,5.98,0
94,23.11,26.86,47.76,1
77.4,49.28,61.62,55.1,0
44.93,39.21,61.18,91.73,1
75.97,80.24,62.22,91.1,0
94.01,40.61,11.95,32.26,1
91.49,70.9,82.16,95.94,0
10.55,24.13,4.77,83.72,1
13.37,65.69,53.87,82.47,0
67.98,3.12,23.04,19.11,1
